scene_id,start_sec,end_sec,start_frame,end_frame
scene-1-opening-handoff,0.000,6.000,0,179
scene-2-lesson-intro,6.000,12.000,180,359
scene-3-repeat-listen,12.000,18.000,360,539
scene-4-quiz-point,18.000,24.000,540,719
scene-5-ending-wave,24.000,30.000,720,899
