scene_id,start_sec,end_sec,start_frame,end_frame
scene-0-opening,0.000,2.000,0,59
scene-1-question,2.000,9.000,60,269
scene-2-engagement,9.000,11.000,270,329
scene-3-answer-payoff,11.000,15.000,330,449
