voice_slot_id,scene_id,scene_start_sec,slot_start_sec,slot_end_sec,duration_sec,text,selected_source,recording_target,guide_asset,reference_video
scene-1-opening-greeting-ko,scene-1-opening-handoff,0.000,0.600,4.470,3.870,안녕하세요. 여러분과 한글을 함께 공부할 설민입니다!,supertone-guide,dubbing/audio-overrides/scene-1-opening-greeting-ko.wav,dubbing/guide-audio/scene-1-opening-greeting-ko.mp3,dubbing/reference-video/scene-1-opening-handoff.mp4
scene-2-intro-ko,scene-2-lesson-intro,6.000,6.550,10.310,3.760,"오늘 배울 문장은 아침마다 커피를 마십니다, 입니다.",supertone-guide,dubbing/audio-overrides/scene-2-intro-ko.wav,dubbing/guide-audio/scene-2-intro-ko.mp3,dubbing/reference-video/scene-2-lesson-intro.mp4
scene-3-repeat-cue-ko,scene-3-repeat-listen,12.000,12.550,13.490,0.940,따라해 볼까요?,supertone-guide,dubbing/audio-overrides/scene-3-repeat-cue-ko.wav,dubbing/guide-audio/scene-3-repeat-cue-ko.mp3,dubbing/reference-video/scene-3-repeat-listen.mp4
scene-3-sentence-ko,scene-3-repeat-listen,12.000,14.490,16.210,1.720,아침마다 커피를 마십니다.,supertone-guide,dubbing/audio-overrides/scene-3-sentence-ko.wav,dubbing/guide-audio/scene-3-sentence-ko.mp3,dubbing/reference-video/scene-3-repeat-listen.mp4
scene-4-cta-ko,scene-4-quiz-point,18.000,19.200,21.160,1.960,빈칸에 들어갈 말은 무엇일까요?,supertone-guide,dubbing/audio-overrides/scene-4-cta-ko.wav,dubbing/guide-audio/scene-4-cta-ko.mp3,dubbing/reference-video/scene-4-quiz-point.mp4
scene-5-ending-ko,scene-5-ending-wave,24.000,26.550,29.420,2.870,말모이랩닷컴에서 더 알아보아요. 안녕!,supertone-guide,dubbing/audio-overrides/scene-5-ending-ko.wav,dubbing/guide-audio/scene-5-ending-ko.mp3,dubbing/reference-video/scene-5-ending-wave.mp4
