scene_id,start_sec,end_sec,start_frame,end_frame
scene-01,0.000,2.400,0,71
scene-02,2.400,4.600,72,137
scene-03,4.600,6.400,138,191
scene-04,6.400,8.000,192,239
scene-05,8.000,10.400,240,311
scene-06,10.400,12.600,312,377
scene-07,12.600,14.400,378,431
scene-08,14.400,16.600,432,497
