scene_id,start_sec,end_sec,start_frame,end_frame
scene-01,0.000,2.500,0,74
scene-02,2.500,5.000,75,149
scene-03,5.000,7.500,150,224
scene-04,7.500,10.300,225,308
scene-05,10.300,13.300,309,398
scene-06,13.300,16.300,399,488
scene-07,16.300,19.700,489,590
scene-08,19.700,23.100,591,692
scene-09,23.100,26.100,693,782
scene-10,26.100,30.000,783,899
